story,caption
"VIBABI DAN MERICASelama 1 2  menit, Alice berdiri menatap ke arah rumah tersebut, hingga akhirnya datanglah pelayan laki-laki dengan pakaian layaknya seorang pesuruh dari tengah hutan (kalau dinilai dari wajahnya saja, Alice akan memanggil priaitu ""ikan"")dan mengetuk pintu rumah dengan keras. Pintu dibuka oleh seorang pelayan laki-laki lain dengan pakaian serupa, wajahnya bulat dan matanya besar seperti seekor katak.Pelayan berwajah ikan itu menyerahkan segulung besar surat yang dijepitnya di ketiak dan berkata dengan nada serius, Ini undangan bermain kroket dari sang Ratu untuk Duchess. Lalu, mereka pun membungkuk hingga rambut keriting mereka saling tersangkut.Ketika Alice mengintip lagi, pelayan berwajah ikan itu sudah pergi, sedangkan pelayan yang satunya sedang duduk di dekat pintu sambil menatap langit dengan wajah dungu. Alice mendekati pintu dengan malu-malu, lalu mulai mengetuk.Tidak ada gunanya mengetuk pintu, ujar si Pelayan, karena dua alasan. Pertama, kita berada di sisi pintu yang sama; kedua, mereka berisik sekali di dalam, aku yakin tidak ada yang mendengarmu. Memang, di dalam ada bunyi-bunyi berisik yang aneh yang terdengar dari dalam rumahraungan yang tak putus-putus, suara bersin, serta sesekali terdengar suara benturan, seolah-olah ada yang memecahkan piring dan ceret.Bagaimana caranya aku bisa masuk? tanya Alice.Memangnya kamu bisa masuk? sahut si Pelayan. Itu yang seharusnya kautanyakan lebih dulu.Alice membuka pintu dan melangkah masuk. Pintu itu membawanya langsung ke sebuah dapur luas yang dipenuhi asap. Sang Duchess sedang duduk di bangku berkaki tiga di tengah dapur sambil mengurus bayi, sedangkan si koki sedang berdiri di dekat tungku sambil mengaduk kuali besar berisi sup.Sup itu berisi terlalu banyak merica! Alice bergumam di antara bersinnya. Bahkan sang Duchess juga sesekali bersin. Sementara itu, bayinya bersin dan meraung silih berganti tanpa henti. Yang tidak bersin-bersin di dapur itu hanyalah si koki dan seekor kucing yang menyeringai lebar.Permisi, bolehkah saya bertanya? ujar Alice, sedikit malu-malu, Mengapa kucing Anda menyeringai seperti itu?Namanya Kucing Chesire, ujar sang Duchess. Itu alasannya.Saya tidak tahu Kucing Chesire selalu menyeringai. Malahan, saya tidak tahu kucing bisa menyeringai, ujar Alice.Kau tidak banyak tahu, sahut sang Duchess. Itu kenyataannya.Si koki lalu menurunkan kuali sup dari atas tungku dan mulai melemparkan semua barang dalam jangkauannya ke arah sang Duchess dan bayinyapertama-tama ia melempar tongkat yang dipakai mengatur bara api, dilanjutkan dengan serbuan panci, piring, dan berbagai alat makan lain. Sang Duchess tak sedikit pun menggubrisnya, bahkan ketika barang-barang itu mengenainya. Sementara bayinya sedari tadi sudah meraung begitu kencang hingga Alice tidak tahu apakah bayi itu merasa kesakitan terkena lemparan benda-benda tersebut atau tidak.Aduh, apa yang Anda lakukan? Alice menjerit ketakutan sambil melompat ke sana ke mari.Ini, kamu boleh mengasuh bayi ini sebentar kalau kamu mau! kata sang Duchess sambil melemparkan bayi itu ke arah Alice. Aku harus bersiap-siap untuk pergi bermain kroket dengan sang Ratu. Ia pun bergegas keluar dari dapur.Alice sedikit kesulitan menangkap bayi itu karena wujudnya yang aneh, juga karena bayi itu terus merentangkan tangan dan kakinya ke segala arah. Kalau aku tidak membawa anak ini pergi dari sini, pikir Alice, orang-orang ini pasti akan mencelakainya. Kalau aku meninggalkannya di sini, bukankah artinya aku juga membahayakan nyawanya? Alice mengucapkan kalimat terakhirnya keras-keras, tetapi bayi itu hanya membalas dengan dengusan.Anak manis, kalau kamu lebih ingin menjadi babi, ujar Alice, aku tidak akan memedulikanmu lagi. Sekarang menurutlah!Alice kembali membatin, Harus kuapakan bayi ini kalau aku sampai di rumah nanti?. Tiba-tiba bayi itu kembali mendengus-dengus nyaring. Alice menatap bayi itu dan terperanjat. Tidak salah lagi, bayi itu sudah berubah menjadi babi; jadi, Alice meletakkannya di lantai. Ia merasa lega begitu melihat makhluk itu berderap pelan memasuki hutan.Alice sedikit terkejut saat melihat Kucing Chesire duduk di dahan pohon beberapa yard jauhnya. Kucing itu hanya menyeringai ke arahnya. Chesire, pus, Alice memanggil dengan agak malu-malu, bisakah kamu memberitahuku ke mana aku harus pergi?Di sebelah sana, sahut si Kucing sambil melambaikan kaki depan kanannya. Di sana tinggal seorang tukang topi, sedangkan di sebelah sana, si Kucing melambaikan kaki depan satunya, tinggal seekor kelinci maret. Temui yang mana saja kamu suka, mereka berdua sama-sama gila.Tapi aku tidak mau menemui orang gila, balas Alice. Oh, kau tidak punya pilihan lain soal itu, sahut si Kucing. Semua orang di sini sudah gila. Apa kau ingin bermain kroket dengan sang Ratu hari ini? Aku ingin sekali, kata Alice. Akan tetapi, aku belum mendapatkan undangan.Kita akan bertemu lagi di sana, ujar si Kucing sebelum akhirnya menghilang. Alice belum berjalan terlalu jauh ketika akhirnya ia sampai di rumah Kelinci Maret yang begitu besar. Alice menggigit sedikit potongan jamur dari tangan kirinya sebelum akhirnya melangkah mendekati rumah tersebut.",a man in a hat and a cat
"VIIPESTA TEH GILASeperangkat meja teh telah digelar di bawah pohon di depan rumah tersebut. Di sana, terlihat Kelinci Maret dan Tukang Topi sedang menikmati teh. Sementara itu, seekor Dormouse tertidur lelap di antara mereka berdua.Meja teh itu sebenarnya cukup besar, tetapi ketiganya berkumpul di satu sudut saja. Tidak ada tempat! Tidak ada tempat! Mereka berseru saat melihat Alice mendekat.Masih ada banyak tempat! sahut Alice kesal. Ia pun duduk di sebuah kursi besar berlengan di salah satu ujung meja.Mendengar ucapan Alice, Tukang Topi membelalakkan matanya dan berkata, Mengapa gagak mirip dengan meja tulis?Aku senang akhirnya mereka mulai melontarkan teka-tekiKurasa aku bisa menebak jawabannya, Alice menambahkan.Maksudmu, kamu bisa menemukan jawabannya? tanya Kelinci Maret.Tepat sekali, jawab Alice.Kalau begitu seharusnya kamu mengatakan apa yang kaumaksud, lanjut Kelinci Maret.Memang, Alice cepat-cepat menyahut. Paling tidakpaling tidak aku memaksudkan apa yang kukatakankeduanya sama saja, bukan?Kalau begitu, sekalian saja kamu bilang, celetuk Dormouse yang sepertinya sedang mengigau, kalau bernapas ketika tidur dan tidur ketika bernapas itu sama saja!Bagimu, dua hal itu memang sama saja, ujar Tukang Topi sambil menuangkan sedikit teh panas ke hidung Dormouse.Dormouse menggelengkan kepalanya tidak sabaran, tetap tanpa membuka matanya. Tentu saja, tentu saja; aku baru saja mau bilang begitu.Sudahkah kamu berhasil menebak jawaban teka-teki tadi? tanya Tukang Topi sambil menoleh ke arah Alice lagi.Tidak, aku menyerah, Alice membalas. Apa jawabannya?Aku sama sekali tidak tahu, sahut Tukang Topi.Aku juga, sahut Kelinci Maret.Alice menghela napas kelelahan. Sebaiknya kalian menggunakan waktu kalian untuk hal yang lebih berguna, ujarnya, daripada dihabiskan untuk melontarkan teka-teki yang tidak ada jawabannya.Silakan tambah tehnya lagi, Kelinci Maret dengan tulus menawarkan pada Alice.Aku bahkan belum minum teh sedikit pun, sahut Alice dengan nada tersinggung. Jadi, aku tidak bisa menambah teh lagi.Maksudmu, kamu tidak bisa mengurangi tehnya, ujar Tukang Topi. Jauh lebih mudah mendapatkan tambahan daripada tidak mendapatkan apa-apa.Detik itu juga, Alice bangkit dari kursinya dan berjalan pergi. Dormouse langsung jatuh tertidur, sedangkan dua sosok lainnya tak sedikit pun menggubris kepergian gadis itu. Sesekali Alice menoleh ke arah mereka. Terakhir kalinya, ia melihat mereka sedang berusaha memasukkan Dormouse ke dalam poci teh.Bagaimanapun juga, aku tidak akan kembali ke tempat itu! ujar Alice sambil berjalan menembus hutan. Itu pesta teh terbodoh yang pernah kudatangi dalam hidupku! Seusai berkata demikian, Alice menyadari bahwa terdapat pintu di salah satu pohon di hutan itu. Aneh sekali! batin Alice. Sebaiknya aku harus coba memasukinya. Alice pun memasuki pintu tersebut.Lagi-lagi ia mendapati dirinya berada di aula panjang yang sama dengan sebelumnya, tak jauh dari meja kaca kecil. Alice meraih kunci emas kecil di atas meja dan membuka pintu kecil menuju taman. Kemudian, Alice menggigit potongan jamur (yang selalu ia bawa di kantongnya) sampai badannya menyusut menjadi hanya tiga puluh sentimeter tingginya. Alice pun berjalan menembus lorong kecil di balik pintu itu. Akhirnya, sampailah Alice di taman indah dengan petak bunga berwarna-warni serta air pancur sejuk di sekelilingnya.",a rabbit with a trumpet and a trumpet
"VIIILAPANGAN KROKET SANG RATUDi dekat pintu masuk taman tersebut terdapat sebuah pohon mawar besar dengan bunga berwarna putih. Namun, tiga orang tukang kebun terlihat sibuk mewarnai mawar putih itu dengan cat merah. Tiba-tiba, perhatian mereka terpaku pada Alice yang tengah berdiri memperhatikan. Bolehkah aku bertanya? ucap Alice agak malu-malu. Mengapa kalian mengecat bunga mawarnya?Kartu Lima dan Kartu Tujuh tidak menjawab, hanya menatap ke arah Kartu Dua. Dua menjawab dengan suara rendah, Sebenarnya begini, Nona. Seharusnya kami menanam pohon mawar merah di sini, tetapi kami malah menanam yang putih. Kalau Ratu sampai tahu, ia akan memenggal kepala kami, kamu tahu. Jadi, Nona, kami sedang berusaha sebisa kami sebelum Ratu datang Tiba-tiba, Lima yang sedari tadi mengawasi taman dengan penuh rasa waswas berseru, Sang Ratu datang! Sang Ratu datang! Segera saja ketiga tukang kebun itu bersujud hingga wajah mereka menempel ke tanah. Terdengar derap suara langkah kaki mendekat. Alice melihat ke sekelilingnya, tak sabar ingin bertemu Sang Ratu.Yang pertama muncul adalah sepuluh prajurit kartu keriting bersenjatakan gada, tangan dan kaki mereka mencuat dari keempat pojok kartu. Berikutnya datanglah para abdi dalem dengan tubuh bertabur berlian berbentuk wajik. Kemudian, datanglah anak-anak kerajaan, sepuluh orang jumlahnya dan semuanya berhiaskan ornamen bentuk hati. Selanjutnya, para tamu turut hadir, kebanyakan kartu-kartu Raja dan Ratu. Alice melihat Kelinci Putih di antara mereka. Berikutnya, datanglah para kartu Patih Hati yang membawa bantalan beludru merah dengan mahkota Raja diletakkan di atasnya. Terakhir, muncullah Raja dan Ratu Hati di penghujung iring-iringan tersebut.Ketika rombongan tersebut tiba tepat di hadapan Alice, mereka semua berhenti dengan tatapan terarah ke gadis itu. Ratu berkata dengan nada tegas, Siapa orang ini? tanya Ratu kepada para Patih Hati, yang hanya bisa membungkuk dan tersenyum.Nama saya Alice, Yang Mulia, jadi saya mohon jangan terlalu keras pada mereka, ia menjawab dengan amat sopan, lalu menambahkan, Lagi pula, mereka hanyalah sekumpulan kartu!Bisakah kamu bermain kroket? Ratu bertanya.Pertanyaan itu tentu saja ditujukan kepada Alice. Ya! jawabnya dengan suara keras.Kalau begitu, kemarilah! Ratu berseru.Bukankahbukankah ini hari yang cerah? Sebuah suara dengan malu-malu menyapa Alice. Di sebelah gadis itu ada si Kelinci Putih yang melirik ke arah Alice dengan gugup. Ya, hari yang sangat indah, sahut Alice. Di mana Duchess?Shh, shh! Kelinci menyuruhnya diam. Duchess dijatuhi hukuman penggal.Karena apa? tanya Alice.Ia menampar sisi wajah Ratu Kelinci mulai bercerita.Pergi ke posisi masing-masing! Ratu memerintah dengan suara menggelegar dan semua orang mulai berlarian ke berbagai arah hingga saling menabrak. Namun, dalam sekejap, semuanya telah berada di posisi masing-masing dan permainan pun dimulai.Alice tak pernah sekalipun melihat lapangan kroket seaneh itu dalam hidupnya; lapangan itu penuh dengan gundukan dan parit. Landak hidup digunakan sebagai bola, tongkat pemukulnya berupa burung flamingo hidup, para prajurit kartu menjadikan diri mereka tiang gawang dengan cara membungkukkan badan dan bertumpu pada ujung kaki dan tangan mereka.Semua peserta bermain dalam waktu bersamaan tanpa menunggu giliran masing-masing, bertengkar, dan memperebutkan landak. Dalam waktu singkat, amarah sang Ratu meluap-luap. Ia mengentak-entakkan kaki dan berteriak, Penggal kepalanya! Penggal kepalanya! setidaknya sekali setiap menitnya.Mereka sepertinya senang sekali memenggal kepala orang, pikir Alice. Akan tetapi, hebatnya, masih ada orang hidup di sini!Gadis itu tengah mencari cara untuk kabur ketika matanya menangkap sosok yang aneh muncul di udara. Itu si Kucing Chesire, gumamnya. Akhirnya ada yang bisa kuajak bicara.Bagaimana keadaannya? tanya Kucing.Aku rasa mereka tidak bermain dengan adil, keluh Alice. Dan mereka semua bertengkar dengan ributnya hingga tidak ada yang bisa mendengar suara mereka sendiripermainan ini juga sepertinya tidak punya aturan yang jelas.Apa kamu menyukai sang Ratu? tanya Kucing dengan suara pelan.Tidak sama sekali, jawab Alice.Alice berpikir mungkin ia harus kembali dan menyaksikan bagaimana permainan itu berlangsung. Jadi, ia pergi mencari landaknya. Landak itu rupanya sedang bertengkar dengan landak lain. Alice merasa itu adalah kesempatan bagus untuk memukul agar si landak menghantam landak yang lain; namun, sayangnya, burung flamingonya sudah kabur ke seberang taman dan tengah mencoba, dengan susah payah, untuk terbang ke atas pohon. Alice menangkap flamingo itu dan mengepitnya di ketiak agar tidak kabur lagi.Alice kemudian berpapasan dengan sang Duchess (yang kini telah keluar dari penjara). Ia menggandeng lengan Alice dengan mesra dan mereka pun berjalan beriringan. Alice amat senang melihat suasana hati Duchess yang riang. Namun, ia sedikit terkejut saat mendengar Duchess berbisik di telinganya. Kamu pasti sedang memikirkan sesuatu, Nak, sampai kamu tidak ingat untuk berbicara.Permainannya berlangsung dengan lebih baik sekarang, ujar Alice, berusaha meneruskan percakapan.Begitulah, jawab Duchess, Dan pesan yang bisa kautangkap dari semua ini adalahAh, cintalah yang membuat dunia ini bulat!Orang bilang, bisik Alice, Itu karena semua orang memikirkan urusannya masing-masing!Ah, keduanya hampir sama saja artinya, kata Duchess sambil menancapkan dagu tajamnya di pundak Alice dan menambahkan, dan pesan moral yang bisa kautangkap dari semua ini adalahKalau kaupaham apa yang kaumaksud, kamu pasti akan tahu cara menyampaikannya.Alice terkejut saat menyadari bahwa lengan Duchess yang digandengnya mulai bergetar. Gadis itu mendongak dan melihat Ratu sedang berdiri di hadapan mereka, lengannya terlipat dan alisnya mengkerut saking murkanya.Sekarang aku akan memperingatkanmu, seru Ratu sambil mengentakkan kakinya ke tanah. Segera pergi atau kepalamu kupenggal sekarang juga. Mana yang kaupilih? Duchess segera membuat keputusan dan pergi dalam sekejap mata.Ayo kita lanjutkan permainannya, ujar Ratu kepada Alice, yang kini terlalu takut untuk angkat bicara. Namun, ia perlahan mengikuti Ratu kembali ke lapangan kroket.Sepanjang waktu mereka bermain, Ratu terus-menerus berseteru dengan pemain lain dan berseru, Penggal kepalanya! Penggal kepalanya. Setelah sekitar setengah jam berlalu, semua pemain selain Raja, Ratu, dan Alice telah diamankan oleh para prajurit dan dijatuhi hukuman penggal. Ratu kemudian berjalan dengan napas tersengal-sengal dan meninggalkan lapangan permainan bersama Alice. Alice mendengar Raja berkata dengan suara pelan pada semua pemain, Kalian semua diampuni. Tiba-tiba, terdengar seruan dari kejauhan, Proses pengadilan dimulai! Alice dan yang lainnya pun segera berlari menghampiri.",a  character from the disney pixal movie
"IXSIAPA YANG MENCURI KUE TARNYA?Setibanya di ruang sidang, Raja dan Ratu duduk di singgasana mereka dikelilingi oleh kerumunan besar berbagai jenis makhluksegala macam burung dan hewan, juga satu pak lengkap kartu: Patih berdiri di hadapan Raja dan Ratu dengan tangan terborgol serta sepasang prajurit yang berjaga di kedua sisinya. Tak jauh dari Raja, berdirilah Kelinci Putih dengan trompet di salah satu tangannya dan sebuah gulungan kertas di tangan satunya. Tepat di tengah-tengah ruang sidang terdapat meja dengan kue tar besar di atasnya. Semoga saja pengadilannya cepat selesai, batin Alice, agar mereka bisa segera membagikan kue itu!Omong-omong, hakim dalam pengadilan itu adalah sang Raja. Ia mengenakan wig berukuran besar dengan mahkota bertengger di atasnya. Itu tempat duduk para juri, pikir Alice, dan kedua belas makhluk itu (sebagian hewan dan sebagian lainnya burung), kurasa merekalah jurinya.Kemudian, terdengar Kelinci Putih berseru, Seluruh hadirin diharap tenang!Kelinci, bacakan tuduhannya! perintah Raja. Mendengar itu, Kelinci Putih meniup trompet tiga kali, membuka gulungan kertas yang dibawanya lalu mulai membaca tuduhan sebagai berikut, Ratu Hati membuat kue tar. Suatu hari di musim panas terik, Patih Hati mencuri kue tar dan membawanya pergi!Panggil saksi pertama, perintah Raja. Kembali Kelinci Putih meniup trompet tiga kali dan berseru, Saksi pertama!Saksi pertama adalah si Tukang Topi. Ia datang membawa secangkir teh di salah satu tangannya dan sepotong roti dengan mentega di tangannya yang lain.Kamu seharusnya sudah selesai, ujar Raja. Kapan kaumulai?Tukang Topi menatap Kelinci Maret yang turut datang ke pengadilan bersamanya sambil bergandengan tangan dengan Dormouse. Saya rasa tanggal empat belas Maret, Yang Mulia, jawabnya.Tunjukkan buktinya, kata Raja, dan tidak perlu gugup, atau aku akan mengeksekusimu di tempat.Namun, ucapan Raja sama sekali tidak membuat Tukang Topi merasa tenang. Ia terus berpindah tumpuan dari satu kaki ke kaki lainnya sambil menatap sang Ratu dengan gelisah. Di tengah kebingungannya, ia malah menggigit cangkir teh dan bukannya roti.Pada saat bersamaan, Alice merasakan sensasi yang anehlagi-lagi tubuhnya mulai membesar.Tukang Topi yang gugup itu menjatuhkan cangkir teh beserta rotinya dan berlutut, Saya hanyalah seorang yang malang, Yang Mulia. Ia mulai berbicara.Kamu pembicara yang buruk, ujar Raja.Kamu boleh pergi, Raja menambahkan. Tukang Topi dengan segera meninggalkan ruang sidang.Panggil saksi selanjutnya! perintah Raja.Saksi mata selanjutnya adalah koki sang Duchess. Ia membawa kotak berisi merica dan membuat orang-orang di sekitarnya mulai bersin-bersin.Tunjukkan buktimu, ujar Raja.Saya tidak mau, sahut si koki.Raja menatap Kelinci Putih dengan gugup. Kelinci Putih berkata pelan, Yang Mulia harus melakukan pemeriksaan silang pada saksi ini.Baiklah, jika memang aku harus melakukannya, ujar Raja. Kue tar itu terbuat dari apa?Biasanya dari merica, jawab si koki.Selama beberapa saat, seluruh peserta pengadilan dilanda kebingungan. Ketika mereka akhirnya tenang lagi, si koki telah menghilang.Tidak usah dipikirkan! ujar Raja. Panggil saksi berikutnya.Alice memperhatikan Kelinci Putih yang tengah menelusuri daftar nama dengan gugup. Bayangkan betapa terkejutnya Alice saat Kelinci Putih, dengan suara melengking, membacakan suatu nama, Alice!",a woman in a dress with a bird on her head
"XBUKTI YANG DIMILIKI ALICEHadir! Alice berseru. Ia melompat dengan sangat terburu-buru hingga kakinya tersandung oleh tempat duduk juri dan membuat para juri jatuh terjungkal ke dalam kerumunan di bawah mereka.Oh, permisi! Gadis itu berseru dengan nada cemas.Proses pengadilan ini tidak dapat dilanjutkan, ujar Raja, sampai para juri kembali ke tempatnya masing-masingsemua juri, Raja menekankan sambil menatap Alice lekat-lekat.Apa yang kaupahami soal perkara ini? tanya Raja kepada Alice.Saya tidak paham apa pun, jawab Alice.Raja kemudian membacakan buku peraturannya, Peraturan nomor empat puluh dua. Setiap orang dengan tinggi lebih dari satu setengah kilometer harus meninggalkan ruang sidang.Saya tidak setinggi itu, kata Alice.Tinggimu hampir tiga kilometer, ujar Ratu.Tapi saya tidak ingin pergi, sahut Alice.Wajah Raja berubah pucat dan ia pun menutup buku peraturannya dengan buru-buru. Putuskan dakwaan kalian, Raja berkata dengan suara pelan dan bergetar kepada para juri.Masih ada bukti lain, Yang Mulia, kata Kelinci Putih sambil melompat tergesa-gesa. Kami baru saja memperoleh kertas ini. Sepertinya ini adalah surat yang ditulis oleh tawanan untukuntuk seseorang. Kelinci Putih membuka surat itu dan menambahkan, Rupanya ini bukan surat, tapi sebuah syair.Saya mohon, Yang Mulia, pinta kartu Patih. Bukan saya yang menulisnya dan tidak ada yang bisa membuktikan kalau saya yang menulisnya. Tidak ada nama penulis yang tercantum di sana.Kamu pasti memiliki maksud jahat, karena kalau tidak, kamu pasti sudah menuliskan namamu di sana selayaknya orang jujur, ujar Raja. Seorang jenderal bertepuk tangan mendengar itu.Bacakan syair itu, Raja menambahkan sambil menoleh pada Kelinci Putih.Seluruh hadirin terdiam sementara Kelinci Putih membacakan isi syair tersebut.Sepertinya ini adalah bukti terpenting yang kita dengar sejauh ini, ucap Raja.Menurut saya, syair itu sama sekali tidak ada artinya, Alice menduga-duga.Kalau memang syair itu tidak ada artinya, ujar Raja, maka itu akan sangat membantu karena kita tidak perlu mencari tahu artinya. Biarkan para juri mempertimbangkan dakwaannya.Tidak, tidak! seru Ratu. Hukumannya dulubaru dakwaannya.Itu tidak masuk akal! Alice berseru. Seharusnya dakwaan dulu, baru hukumannya!Tutup mulutmu! hardik Ratu dengan wajah memerah karena marah.Saya tidak mau! sahut Alice.Penggal kepala gadis itu! Ratu memekik sekeras mungkin. Tak ada seorang pun yang berani bergerak.Siapa yang peduli tentang kalian? kata Alice (saat ini, ia sudah kembali tumbuh ke ukurannya semula). Kalian hanya sekumpulan kartu!Mendengar itu, seluruh kartu mulai beterbangan dan menjatuhkan diri di atas tubuh Alice. Gadis itu memekik ketakutan sekaligus marah sambil berusaha menghalau mereka. Kemudian, Alice mendapati dirinya terbaring di pinggir sungai. Kepalanya berada di pangkuan kakaknya, sementara si kakak sedang menyeka dedaunan yang jatuh di wajah Alice.Bangunlah, Alice sayang! ucap kakaknya. Ya, ampun, kamu tertidur lama sekali!Oh, tadi mimpiku aneh sekali! kata Alice. Ia pun menceritakan mimpinya itu pada kakaknya sejauh yang bisa diingatnya. Ya, seluruh petualangan aneh yang baru saja kaubaca. Alice kemudian bangkit dan mulai berlari sambil memikirkan betapa ajaib mimpinya tadi.",a girl in a dress with a cat on the ground
"Di tepi danau yang misterius, tinggallah seorang anak perempuan bernama Tiny. Dia menghabiskan hari-harinya dengan melakukan berbagai hal yang dia sukai dan setiap malam dia menceritakannya kepada kakaknya.",boy and girl playing with a kite
"Selalu ingin tahu,  Tiny sering bertaya-tanya tentang danau di dekat rumahnya.  Ada sesuatu yang menarik tentang danau itu. Dia memutuskan untuk  menjelajahinya!",woman with a hat and a suitcase
"Namun, pertama-tama dia harus mempersiapkan diri. Dengan penuh tekad, dia kursus berenang dan berlatih setiap hari agar menjadi perenang andal.",there is a woman sitting on a tree branch with a bird on it
"Akhirnya, tiba hari ketika Tiny tahu dirinya sudah siap. Dia menuju danau dengan penuh semangat ....",a woman in a yellow swimsuit is surfing in the ocean
... dan memeriksa airnya.,woman sitting on a couch with a man in a yellow shirt
"Memandang ke arah danau, Tiny bersiap untuk melompat.",arafed image of a girl sitting on a tree branch
"Namun, tiba-tiba dia merasa ragu. Airnya terlihat sangat dalam. Ada apakah di dasar danau?",a man standing on a cliff with a kite flying over him
"Tak yakin apa yang harus dilakukan, Tiny teringat kakaknya . Kakaknya selalu takut akan hal- hal baru tetapi dia tetap tidak pernah menyerah.",woman sitting at a desk with a book and a book
"Tiny juga tidak ingin menyerah. Dia menepis ketakutan dan melepaskan tangannya dari dahan pohon, menarik napas dalam-dalam ... dan melompat!",girl with a bird on her head and a bird on her head
Percikan raksasa! Mendebarkan! Penantian itu telah berakhir dan Tiny berenang di danau.,there is a woman that is swimming in the water
"Banyak sekali ikan! Berbeda-beda bentuk, ukuran, dan warna. Penuh rasa ingin tahu, Tiny ingin menyelam lebih dalam lagi.",man in a yellow swimsuit is swimming in the ocean
"Dengan segera, dia berenang bersama makhluk-makhluk menakjubkan yang belum pernah dia lihat.",girl in yellow swimsuit swimming in the ocean with fish and fish
"Dan, yang belum pernah melihat dirinya.",character with a woman in a yellow dress and a yellow dress
"Dia berenang semakin dalam dan dalam lagi melewati makhluk-makhluk dengan bentuk  mulut bagaikan sebuah kaleidoskop. Pada satu saat yang menyeramkan, Tiny mengira mereka akan memangsanya! Namun, ternyata makhluk itu mengangkatnya dengan lembut.",a group of octopuss in a seaweeded area
"Sekarang, dia hampir kehabisan napas. Namun, Tiny yang cerdik menemukan gelembung-gelembung istimewa untuk bernapas sehingga dia bisa melanjutkan bermain dengan teman-teman barunya.",cartoonish a ish creature with a strange looking face
Belum pernah dia merasa begitu ... hidup!,a close up of a man and woman
Danau itu sangat indah dan menakjubkan tetapi sudah saatnya pulang. Tiny sudah tidak sabar ingin menceritakan semua petualangan di dalam airnya kepada kakaknya. Bagaimana pendapatnya nanti?,a woman sitting on a chair with a thought bubble bubble
"Dia berjanji kepada diri sendiri bahwa dia tidak akan melupakan hari ini. Dia belajar bahwa dirinya bisa melakukan apa saja jika bertekad bulat. Dengan sinar matahari menghangatkan punggung, Tiny bertanya tanya ... ""Berikutnya apa?""",a woman sitting on a blanket in a tent
"[Keterangan teks di ilustrasi:""Babendi-bendi ka Sungai Tanang ...""(Naik bendi ke Sungai Tanang )]Kakek senang menyanyi lagu Babendi-bendi setiap membersihkan bendi mainan milik Rio.",a man and a child playing with a guitar
"Bendi itu kereta yang ditarik kuda.""Kapan kita naik bendi, Kek?"" Rio bertanya.",a boy in a yellow shirt is looking out the window
"""Wah, kita harus ke Bukittinggi. Di Kota Padang ini bendi sudah jarang sekali ditemui,"" jawab Kakek.",a boy and a cat sitting on a window sill
"""Ayo kita ke Bukittinggi, Kek! Nanti bayar naik bendinya pakai uang tabungan Rio saja!""Kakek tertawa. ""Kamu boleh menyimpan saja tabunganmu. Kakek juga sudah kangen jalan-jalan ke Bukittinggi.""",a woman talking on a phone while holding a baby
"""Babendi-bendi  di Bukiktinggi,"" Rio menirukan lagu yang dinyanyikan Kakek.",there is a horse drawn carriage with a man and two children
Mereka sampai di Bukitinggi.Rio sudah tidak sabar!,a horse drawn carriage drawn carriage drawn carriage drawn carriage drawn carriage drawn carriage drawn carriage drawn
"Di dalam bendi, Rio duduk di depan.Seru sekali!Ketika ke Bukitinggi sebelumnya, Rio tidak sempat naik bendi.",a man and two children playing with a dog
"Duduk di kursi depan, Rio boleh memegang tali kekang kuda.Wah, senangnya!",character from the animated animated animated animated animated animated animated animated animated animated animated animated animated animated animated
"""Rio, coba tebak apa yang Kakek lihat ya?"" Kakek memberi teka-teki.",a man with a mustache and a mustache on his finger
"""Kakek melihat sebuah jam bulat dan empat segitiga.Tempatnya tinggi menjulang ke angkasa.""",a man and a woman walking down a path
"""Jam Gadang!"" Rio cepat menyahut.",there is a picture of a stone wall
"""Satu lagi. Kakek melihat dinding raksasa, hijau warnanya.Sungai mengalir di bawahnya.Dari Gunung Singgalang asalnya.""",a boy with a thought bubble bubble bubble in his mouth
"""Ngarai Sianok! Gampang sekali itu, Kek!"" Rio menjawab tangkas.",a boy with a backpack and a backpacker with a backpack
"Kakek tertawa. ""Coba yang ini.Setengah lingkaran bentuk mulutnya.Panjang dan berkelok-kelok badannya.Sudah tua renta umurnya.""",a clock tower in a city with a clock tower
"""Hhm ... Lubang Jepang?""",a horse drawn carriage with a carton of flowers
"""Benar! Wah, Rio hebat!"" jawab Kakek.",a boy with a backpack and a backpack on a beach
"""Sekarang giliran Rio memberi Kakek tebak-tebakan!"" kata Kakek.",there is a horse drawn carriage with a man in a carriage
"""Rio melihat sesuatu yang putih lembut, disiram kuah cokelat yang manis .... """,a horse drawn carriage drawn by a horse drawn carriage
"""Ampiang dadiah! Haha ... Rio sudah lapar ya?""Mereka pun turun dari bendi lalu memasuki Pasar Atas.",a boy with a bowl of cereal and a bowl of cereal
"Tadi Rio sudah menebak semua teka-teki Kakek dengan benar. Ampiang dadiah dan es tebak ini hadiahnya.Terima kasih, Kakek!",a horse drawn carriage in front of a building
Sreet! Bunyi apa itu? Apakah ini tanda Koni akan pindah tempat lagi?,a hand holding a box with a hand reaching for a box of food
"Benar. Koni harus berpindah tempat lagi. Ke mana Koni akan pindah, ya? Semoga tempat itu bersih.",a man in a white shirt is holding a bottle of liquid
"Aduh, Koni terjatuh. Koni takut. Bagaimana jika tidak ada yang melihatnya? Koni akan kesepian.",girl with a red bow tie and glasses
